# .test .cputime .temperature .time_mat1 .time_mat2
389 0.305807  6.818 0.005116 0.007701
390 0.306094  6.331 0.004729 0.007679
391 0.306839  6.818 0.004797 0.007716
392 0.309237  7.792 0.004946 0.007783
393 0.338595  6.818 0.005009 0.008186
394 0.309660  7.305 0.005139 0.008048
395 0.309349  6.818 0.004890 0.007966
396 0.313817  7.792 0.004889 0.007930
397 0.311596  7.792 0.004947 0.008038
398 0.312091  6.818 0.005059 0.008049
399 0.311671  7.792 0.004980 0.008109
400 0.315409  7.792 0.004964 0.008308
401 0.349113  7.305 0.005020 0.008205
402 0.314639  7.792 0.005029 0.008188
403 0.330049  7.792 0.005273 0.008527
404 0.324582  8.766 0.005103 0.008324
405 0.318466  7.305 0.005158 0.008586
406 0.320405  6.331 0.005122 0.009193
407 0.320153  7.305 0.005195 0.008609
408 0.321585  7.305 0.005168 0.008641
409 0.321410  7.792 0.005240 0.008506
410 0.320483  7.305 0.005234 0.008664
411 0.324112  8.279 0.005288 0.008830
412 0.359400  8.279 0.005261 0.008660
413 0.323349  6.818 0.005365 0.008919
414 0.324853  7.305 0.005422 0.008768
415 0.342256  8.279 0.005490 0.008824
416 0.326653  7.305 0.005399 0.008982
417 0.328500  8.279 0.005461 0.008909
418 0.362716  8.279 0.005635 0.009091
419 0.334698  8.279 0.005525 0.008972
420 0.333218  6.818 0.005497 0.009027
421 0.353307  7.305 0.005526 0.009168
422 0.333007  8.279 0.005532 0.009153
423 0.333425  7.792 0.005562 0.009285
424 0.350631  7.792 0.005790 0.009377
425 0.332507  8.279 0.005590 0.009430
426 0.337877  7.792 0.005599 0.009539
427 0.355850  8.279 0.005673 0.009311
428 0.334261  8.766 0.005679 0.009424
429 0.335904  7.792 0.005660 0.009666
430 0.362693  8.279 0.005735 0.009469
431 0.337210  8.279 0.005717 0.009539
432 0.351150  7.792 0.005722 0.009595
433 0.360089  8.279 0.005712 0.009805
434 0.340832  8.279 0.005819 0.009628
435 0.342781  8.766 0.005743 0.009777
436 0.371131  7.792 0.006025 0.010074
437 0.341894  7.305 0.005784 0.010043
438 0.341890  8.279 0.005834 0.010009
439 0.383932  8.279 0.005931 0.010249
440 0.341507  8.279 0.005891 0.010144
441 0.352308  7.305 0.005860 0.009980
442 0.385234  8.279 0.005993 0.010052
443 0.345622  8.279 0.005920 0.010096
