# .test .cputime .temperature .time_mat1 .time_mat2
223 0.177754  4.870 0.001544 0.002059
224 0.207536  4.383 0.001572 0.002053
225 0.176080  4.383 0.001571 0.002087
226 0.183238  4.383 0.001601 0.002107
227 0.186885  3.896 0.001606 0.002176
228 0.182371  4.870 0.001690 0.002082
229 0.177884  2.922 0.001638 0.002156
230 0.184255  4.383 0.001702 0.002179
231 0.181043  3.896 0.001658 0.002150
232 0.185829  4.383 0.001697 0.002261
233 0.182407  4.870 0.001693 0.002246
234 0.186846  4.870 0.001721 0.002291
235 0.184212  4.870 0.001704 0.002356
236 0.189002  3.896 0.001804 0.002263
237 0.189328  4.383 0.001834 0.003029
238 0.206769  5.357 0.001783 0.002490
239 0.186435  4.383 0.001765 0.002448
240 0.192933  3.896 0.001855 0.002346
241 0.189532  4.870 0.001788 0.002482
242 0.196642  5.357 0.001887 0.002401
243 0.190184  5.357 0.001827 0.002507
244 0.195066  4.383 0.001875 0.002522
245 0.192184  4.383 0.001897 0.002542
246 0.197207  3.896 0.001904 0.002632
247 0.194641  4.383 0.001939 0.003488
248 0.206380  4.870 0.001942 0.002661
249 0.195874  3.896 0.001964 0.002641
250 0.200521  4.870 0.001973 0.002801
251 0.198865  5.357 0.001953 0.002735
252 0.201731  3.896 0.002045 0.002724
253 0.201903  4.870 0.002035 0.002702
254 0.203093  4.383 0.002105 0.002759
255 0.211225  5.357 0.002057 0.002980
256 0.204486  5.357 0.002196 0.003429
257 0.213879  5.844 0.002090 0.002785
258 0.206002  4.870 0.002108 0.002881
259 0.202324  4.870 0.002088 0.002957
260 0.207381  4.870 0.002208 0.002888
261 0.207026  4.870 0.002171 0.002955
262 0.208709  3.896 0.002167 0.002975
263 0.206505  5.357 0.002232 0.003058
264 0.210371  5.844 0.002273 0.003058
265 0.209204  4.870 0.002212 0.003749
266 0.213065  5.844 0.002241 0.003164
267 0.211245  5.357 0.002318 0.003157
268 0.211848  5.357 0.002346 0.003432
269 0.213248  5.357 0.002382 0.003275
270 0.215751  3.896 0.002407 0.003196
271 0.231124  5.357 0.002380 0.003329
272 0.212398  5.844 0.002416 0.003239
273 0.215416  5.844 0.002422 0.003370
274 0.217557  5.357 0.002427 0.003434
275 0.218580  5.357 0.002485 0.003450
276 0.224215  5.357 0.002470 0.003380
277 0.219120  5.844 0.002487 0.003453
278 0.219812  5.357 0.002410 0.003524
279 0.222951  6.331 0.002535 0.003524
280 0.221606  5.844 0.002530 0.003528
281 0.223048  3.896 0.002570 0.003685
282 0.223461  5.844 0.002570 0.003573
283 0.224351  5.844 0.002546 0.003643
284 0.224580  5.844 0.002606 0.003790
285 0.224941  5.844 0.002632 0.003720
286 0.226431  5.844 0.002570 0.003832
287 0.226632  6.331 0.002692 0.003745
288 0.227930  5.844 0.002571 0.003994
289 0.227849  4.870 0.002753 0.003829
290 0.228768  5.357 0.002705 0.003839
291 0.229591  5.844 0.002750 0.003909
292 0.231953  5.357 0.002827 0.003924
293 0.242959  7.792 0.002747 0.003945
294 0.231739  5.844 0.002786 0.003975
295 0.233725  5.844 0.002831 0.004079
296 0.235829  6.331 0.002832 0.004036
297 0.238282  5.844 0.002828 0.004143
298 0.235278  5.844 0.002870 0.004225
299 0.235503  6.331 0.002942 0.004258
300 0.237840  5.844 0.002903 0.004301
301 0.237465  5.844 0.003032 0.004280
302 0.238182  6.331 0.002907 0.004380
303 0.238660  6.331 0.002992 0.004339
304 0.239579  5.357 0.003025 0.004516
305 0.240193  5.844 0.003029 0.004405
306 0.240026  5.844 0.003024 0.004445
307 0.240716  5.357 0.003048 0.004474
308 0.242613  5.844 0.003066 0.004647
309 0.243368  6.331 0.003125 0.004506
310 0.242968  5.844 0.002984 0.004590
311 0.243643  5.844 0.003259 0.004593
312 0.244812  5.844 0.003138 0.004632
313 0.258072  6.331 0.003213 0.004706
314 0.245643  6.331 0.003191 0.004805
315 0.247375  6.818 0.003250 0.004748
316 0.249820  6.331 0.003296 0.004832
317 0.252317  5.357 0.003258 0.004831
318 0.249579  6.331 0.003272 0.004845
319 0.249656  6.331 0.003408 0.004912
320 0.253025  5.357 0.003322 0.004894
321 0.250391  5.844 0.003288 0.004966
322 0.252190  6.818 0.003350 0.005257
323 0.252117  5.844 0.003388 0.005031
324 0.255197  5.357 0.003411 0.005209
325 0.254998  7.305 0.003403 0.005137
326 0.256037  5.844 0.003422 0.005267
327 0.255914  7.305 0.003409 0.005333
328 0.258088  7.305 0.003466 0.005562
329 0.258771  5.844 0.003479 0.005429
330 0.258072  6.818 0.003502 0.005323
331 0.260161  6.331 0.003505 0.005556
332 0.274569  6.818 0.003551 0.005419
333 0.260539  5.844 0.003545 0.005390
334 0.261402  5.844 0.003689 0.005437
335 0.264898  7.792 0.003591 0.005661
336 0.267590  7.792 0.003711 0.005557
337 0.263665  6.331 0.003586 0.005672
338 0.263857  5.844 0.003652 0.005797
339 0.265841  6.818 0.003636 0.005907
340 0.264750  7.792 0.003682 0.005820
341 0.265673  5.844 0.003623 0.005844
342 0.267359  6.331 0.003820 0.005770
343 0.268011  6.331 0.003697 0.005843
344 0.270520  5.844 0.003880 0.005836
345 0.267451  6.818 0.003745 0.006005
346 0.271214  6.818 0.003800 0.005944
347 0.272472  5.357 0.003799 0.005948
348 0.271123  6.331 0.003851 0.006013
349 0.271762  7.305 0.003787 0.006050
350 0.288775  5.844 0.003884 0.006098
351 0.274592  7.305 0.003832 0.006265
352 0.274917  6.818 0.003951 0.006167
353 0.276795  5.844 0.003937 0.006315
354 0.280717  6.818 0.003981 0.006270
355 0.277158  6.818 0.003954 0.006293
356 0.280318  7.305 0.004012 0.006368
357 0.279186  7.305 0.003988 0.006478
358 0.278370  7.305 0.004056 0.006482
359 0.282094  7.305 0.004036 0.006634
360 0.281783  6.818 0.004098 0.006485
361 0.281534  6.818 0.004122 0.006478
362 0.280231  7.305 0.004129 0.006707
363 0.284680  7.305 0.004128 0.006616
364 0.282237  6.818 0.004191 0.006761
365 0.285392  7.305 0.004195 0.006795
366 0.284431  6.818 0.004235 0.006861
367 0.303269  6.818 0.004221 0.006962
368 0.285603  6.818 0.004278 0.006937
369 0.286859  6.818 0.004280 0.007006
370 0.288399  7.305 0.004313 0.006887
371 0.296958  6.818 0.004327 0.007107
372 0.289312  7.792 0.004355 0.007117
373 0.292338  6.818 0.004380 0.007204
374 0.289486  5.844 0.004418 0.007046
375 0.291534  6.818 0.004417 0.007270
376 0.294101  6.818 0.004421 0.007134
377 0.292283  7.792 0.004447 0.007204
378 0.293720  6.818 0.004487 0.007208
379 0.295117  7.305 0.004560 0.007250
380 0.296274  8.279 0.004491 0.007305
381 0.296862  7.305 0.004578 0.007374
382 0.295500  6.331 0.004573 0.007372
383 0.299219  7.305 0.004731 0.008214
384 0.303736  7.305 0.004616 0.007474
385 0.298055  7.792 0.004636 0.007514
386 0.300864  7.792 0.004669 0.007586
387 0.304558  6.818 0.004850 0.007705
388 0.305747  6.818 0.004690 0.007624
389 0.301034  7.792 0.004752 0.007691
390 0.304276  7.792 0.004749 0.007726
391 0.301491  6.331 0.004798 0.007745
392 0.306645  6.818 0.004783 0.007793
393 0.308101  7.792 0.004838 0.007847
394 0.304223  6.818 0.004944 0.008124
395 0.307027  6.818 0.004896 0.008194
396 0.309519  6.818 0.004906 0.008031
397 0.307370  6.818 0.004959 0.008042
398 0.308445  6.818 0.004922 0.008039
399 0.328304  6.331 0.005007 0.008173
400 0.316137  6.818 0.004961 0.008347
401 0.312657  7.305 0.005145 0.008196
402 0.313379  7.305 0.005110 0.009105
403 0.313544  7.305 0.005088 0.008369
404 0.312991  6.331 0.005068 0.008319
405 0.314309  7.305 0.005136 0.008383
406 0.316044  7.305 0.005152 0.008611
407 0.314505  7.305 0.005200 0.008490
408 0.315206  7.792 0.005165 0.008507
409 0.315552  7.305 0.005215 0.008686
410 0.316313  6.818 0.005215 0.008582
411 0.319831  7.305 0.005266 0.008671
412 0.320565  7.792 0.005258 0.008824
413 0.320338  7.305 0.005320 0.008735
414 0.335096  7.305 0.005535 0.009016
415 0.322170  6.818 0.005376 0.008852
416 0.323335  6.818 0.005379 0.009038
417 0.322920  7.305 0.005415 0.009721
418 0.322691  7.305 0.005539 0.009173
419 0.323356  7.305 0.005515 0.009010
420 0.325070  7.305 0.005462 0.009294
421 0.326471  7.792 0.005506 0.009099
422 0.334544  7.792 0.005535 0.009400
423 0.328754  8.766 0.005559 0.009383
424 0.352278  8.279 0.005581 0.009199
425 0.330903  6.331 0.005621 0.009271
426 0.331462  6.818 0.005597 0.009470
427 0.336578  7.305 0.005623 0.009552
428 0.333433  8.279 0.005666 0.009446
429 0.347780  7.792 0.005638 0.009623
430 0.339557  7.305 0.005681 0.009704
431 0.337466  7.792 0.005723 0.009540
432 0.339398  7.792 0.005718 0.009697
433 0.341046  7.792 0.005705 0.009829
434 0.338465  7.792 0.005901 0.009712
435 0.336160  7.792 0.005763 0.009717
436 0.339460  8.279 0.005800 0.009755
437 0.341746  8.766 0.005781 0.010029
438 0.342040  7.305 0.005998 0.010065
439 0.339712  8.766 0.005847 0.010102
440 0.343354  7.792 0.006019 0.009987
441 0.340251  7.792 0.005879 0.010018
442 0.344040  7.792 0.005946 0.010192
443 0.355761  7.792 0.006112 0.010134
444 0.344482  7.792 0.006205 0.010411
445 0.346681  8.279 0.006186 0.010344
446 0.349892  7.305 0.006514 0.010258
447 0.345901  7.792 0.006173 0.010314
448 0.350102  7.792 0.006098 0.010581
449 0.347378  8.279 0.006066 0.010660
450 0.351201  8.279 0.006169 0.010465
451 0.352478  7.792 0.006321 0.010492
452 0.350987  7.792 0.006388 0.010598
453 0.352465  8.279 0.006175 0.010590
454 0.352112  8.766 0.006331 0.010626
455 0.351178  8.279 0.006249 0.011158
456 0.370800  7.792 0.006317 0.011280
457 0.360201  8.766 0.006288 0.011031
458 0.355059  8.766 0.006375 0.011050
459 0.368581  8.766 0.006571 0.011014
